"","GEOID","NAME","variable","estimate","moe"
"1","53033000101","Census Tract 1.01; King County; Washington","B25075_001",159,96
"2","53033000101","Census Tract 1.01; King County; Washington","B25075_002",0,13
"3","53033000101","Census Tract 1.01; King County; Washington","B25075_003",0,13
"4","53033000101","Census Tract 1.01; King County; Washington","B25075_004",0,13
"5","53033000101","Census Tract 1.01; King County; Washington","B25075_005",0,13
"6","53033000101","Census Tract 1.01; King County; Washington","B25075_006",0,13
"7","53033000101","Census Tract 1.01; King County; Washington","B25075_007",0,13
"8","53033000101","Census Tract 1.01; King County; Washington","B25075_008",0,13
"9","53033000101","Census Tract 1.01; King County; Washington","B25075_009",0,13
"10","53033000101","Census Tract 1.01; King County; Washington","B25075_010",0,13
"11","53033000101","Census Tract 1.01; King County; Washington","B25075_011",0,13
"12","53033000101","Census Tract 1.01; King County; Washington","B25075_012",0,13
"13","53033000101","Census Tract 1.01; King County; Washington","B25075_013",0,13
"14","53033000101","Census Tract 1.01; King County; Washington","B25075_014",0,13
"15","53033000101","Census Tract 1.01; King County; Washington","B25075_015",0,13
"16","53033000101","Census Tract 1.01; King County; Washington","B25075_016",0,13
"17","53033000101","Census Tract 1.01; King County; Washington","B25075_017",0,13
"18","53033000101","Census Tract 1.01; King County; Washington","B25075_018",0,13
"19","53033000101","Census Tract 1.01; King County; Washington","B25075_019",11,21
"20","53033000101","Census Tract 1.01; King County; Washington","B25075_020",0,13
"21","53033000101","Census Tract 1.01; King County; Washington","B25075_021",0,13
"22","53033000101","Census Tract 1.01; King County; Washington","B25075_022",3,10
"23","53033000101","Census Tract 1.01; King County; Washington","B25075_023",54,56
"24","53033000101","Census Tract 1.01; King County; Washington","B25075_024",49,51
"25","53033000101","Census Tract 1.01; King County; Washington","B25075_025",42,71
"26","53033000101","Census Tract 1.01; King County; Washington","B25075_026",0,13
"27","53033000101","Census Tract 1.01; King County; Washington","B25075_027",0,13
"28","53033000102","Census Tract 1.02; King County; Washington","B25075_001",913,211
"29","53033000102","Census Tract 1.02; King County; Washington","B25075_002",0,13
"30","53033000102","Census Tract 1.02; King County; Washington","B25075_003",0,13
"31","53033000102","Census Tract 1.02; King County; Washington","B25075_004",0,13
"32","53033000102","Census Tract 1.02; King County; Washington","B25075_005",0,13
"33","53033000102","Census Tract 1.02; King County; Washington","B25075_006",0,13
"34","53033000102","Census Tract 1.02; King County; Washington","B25075_007",0,13
"35","53033000102","Census Tract 1.02; King County; Washington","B25075_008",0,13
"36","53033000102","Census Tract 1.02; King County; Washington","B25075_009",0,13
"37","53033000102","Census Tract 1.02; King County; Washington","B25075_010",0,13
"38","53033000102","Census Tract 1.02; King County; Washington","B25075_011",0,13
"39","53033000102","Census Tract 1.02; King County; Washington","B25075_012",0,13
